Measurements.Samples,MS.ion.or.MS.MS.product.ion,MS.MS.neutral.loss
AA,C20H32O2LabH1,NA
DHA,C22H32O2LabH1,NA
LPS203,C26H46N1O9P1LabH2,NA
Unknown1,C26H34O13LabH2,NA
CerP285,C28H48N1O8P1LabH1,NA
LPIO170,C26H53O11P1LabH2,NA
LPIO182,C27H51O11P1LabH2,NA
ST302,C30H50O9S1LabH1,NA
ST301,C30H52O9S1LabH3,NA
LysoPI180,C27H53O12P1LabH1,NA
PG235,C29H47O11P1LabH1,NA
Unknown2,C31H40O12LabH2,NA
CerP361,C36H72N1O6P1LabH2,NA
GlcCer321,C38H73N1O8LabH2,NA
PA341,C37H71O8P1LabH3,NA
PA364,C39H69O8P1LabH2,NA
PA362,C39H73O8P1LabH1,NA
PA361,C39H75O8P1LabH2,NA
CerPEd381,C40H81N2O6P1LabH2,NA
PE341,C39H76N1O8P1LabH1,NA
PE340,C39H78N1O8P1LabH2,NA
PA386,C41H69O8P1LabH1,NA
PA385,C41H71O8P1LabH1,NA
PEO365,C41H74N1O7P1LabH1,NA
PA384,C41H73O8P1LabH2,NA
HexCer352 ,C41H77N1O9LabH1,NA
PEO362,C41H80N1O7P1LabH1,NA
PE364,C41H74N1O8P1LabH2,NA
PE362,C41H78N1O8P1LabH1,NA
PA406,C43H73O8P1LabH2,NA
PEO382,C43H84N1O7P1LabH1,NA
PE386,C43H74N1O8P1LabH3,NA
PE384,C43H78N1O8P1LabH3,NA
PEO408,C45H76N1O7P1LabH1,NA
PEO407,C45H78N1O7P1LabH2,NA
PS362,C42H78N1O10P1LabH1,NA
PE407,C45H76N1O8P1LabH1,NA
CerP423,C42H80N1O10P1LabH1,NA
PE406,C45H78N1O8P1LabH3,NA
PE404,C45H82N1O8P1LabH2,NA
SHexCer361,C42H81N1O11S1LabH2,NA
PS384,C44H78N1O10P1LabH2,NA
PG383,C44H81O11P1LabH1,NA
PICer361,C42H82N1O12P1LabH3,NA
PS407,C46H76N1O10P1LabH1,NA
PS406,C46H78N1O10P1LabH3,NA
PG404,C46H83O11P1LabH1,NA
PEO469,C51H86N1O7P1LabH1,NA
PI364,C45H79O13P1LabH3,NA
SHexCer402,C46H88N1O11P1LabH1,NA
PICer401,C46H90N1O11P1LabH2,NA
PI361,C45H85O13P1LabH2,NA
PG4412,C50H75O10P1LabH2,NA
PG425,C48H85O11P1LabH1,NA
PG424,C48H87O11P1LabH2,NA
PI374,C46H81O13P1LabH1,NA
PICer386,C44H76N1O14P1LabH3,NA
SHexCer411,C47H92N1O11P1LabH1,NA
PS4412,C50H74N1O10P1LabH1,NA
SHexCer401,C46H89N1O12S1LabH2,NA
PI386,C47H79O13P1LabH1,NA
PI385,C47H81O13P1LabH1,NA
PI384,C47H83O13P1LabH3,NA
SHexCer422,C48H91N1O11S1LabH3,NA
PG448,C50H83O11P1LabH2,NA
IPC411,C47H92N1O12P1LabH2,NA
PG445,C50H89O11P1LabH2,NA
CerP505,C50H92N1O10P1LabH2,NA
SHexCer432,C49H93N1O11S1LabH1,NA
SHexCer422,C48H91N1O12S1LabH1,NA
PEO5011,C55H90N1O7P1LabH2,NA
PI406,C49H83O13P1LabH2,NA
PS443,C50H92N1O11P1LabH2,NA
PICer454,C51H94N1O11P1LabH3,NA
PI4210,C51H79O13P1LabH1,NA
PS468,C52H86N1O11P1LabH1,NA
PS467,C52H88N1O11P1LabH1,NA
Hex2Cer384,C50H89N1O15LabH1,NA
PE5212,C54H94N1O10P1LabH1,NA
PS489,C54H88N1O10P1LabH1,NA
PS488,C54H90N1O11P1LabH3,NA
SHexCer466,C52H91N1O13S1LabH2,NA
SHexCer480,C54H107N1O11S1LabH1,NA
PIP393,C49H82O17P2LabH2,NA
PIP407,C49H82O17P2LabH3,NA
PIP2340,C50H80O16P2LabH1,NA
PICer466,C52H92N1O15P1LabH4,NA
MIPC396 ,C51H88N1O19P1LabH2,NA
PIP443,C53H98O16P2LabH3,NA
GM3d361,C59H108N2O21LabH3,NA
GM2d361,C67H121N3O26LabH2,NA
CL724,C81H150O17P2LabH2,NA
CL747,C83H148O17P2LabH5,NA
CL7611,C85H144O17P2LabH1,NA
CL7610,C85H146O17P2LabH6,NA
CL7812,C87H146O17P2LabH3,NA
GM1361,C73H131N3O31LabH7,NA
Globosided406,C80H139N1O27LabH6,NA
CL8218,C91H144O17P2LabH2,NA
GM1381,C75H135N3O31LabH4,NA
GA1d506,C82H142N2O27LabH2,NA
Globosided561,C82H151N1O33LabH3,NA
GA1d350,C81H147N3O37LabH5,NA
GD2d420,C84H146N4O39LabH5,NA
HexNAcCerd441,C86H156N4O33LabH5,NA
GD2d447,C86H140N4O34LabH4,NA
GT3d480,C83H148N4O37LabH6,NA
GA1t565,C90H158N2O33LabH4,NA
GD1d361,C84H146N4O39LabH5,NA
GM1bt424,C87H149N4O38LabH5,NA
GD1d381,C86H150N4O39LabH2,NA
GT3d41,C88H151N4O38LabH5,NA
GD1a404,C88H148N4O39LabH3,NA
GD1ad383,C88H148N4O40LabH4,NA
